name,latitude,longitude,route_id
GHPS-CHIKKABIDARAKALLU (1-5),13.051405,77.487560,1
GHS-CHIKKABIDARAKALLU (9-10),13.051405,77.487560,1
GLPS-MUNI SWAMAPPA LAYOUT (1-5),13.045227,77.489358,1
GLPS-CHANNANAYAKANA  PALYA (1-5),13.043653,77.484085,1
GHPS-MADHAVARA (1-5),13.053467,77.472150,1
GHPS-SIDDANA HOSAHALLI (1-5),13.055447,77.459648,1
GLPS-KADARANAHALLI (1-5),13.041402,77.450208,1
GHPS-LAKSHMIPURA (1-5),13.036807,77.461972,1
GHS-MAKALI (9-10),13.068657,77.456160,1
GHPS-HEGGADADEVANAPURA (1-5),13.074800,77.456160,1
GLPS-DOMBERAHALLI (1-5),13.046908,77.460198,1
GLPS-KAMMASANDRA (1-5),13.0.0127,77.438983,1
GHPS-HAROKETHMARANAHALLI (1-5),13.050923,77.443808,1
GHPS-MADANAYAKANAHALLI (1-5),13.061983,77.463015,1
GLPS-HANUMANTHA SAGAR (1-5),13.070905,77.468515,1
GHPS-SRIKANTAPURA (1-5),13.056315,77.480297,1
MALLIKARJUNA HS-A K COLONY (9-10),13.008345,77.611350,2
MALLIKARJUNA HPS-A K COLONY (1-5),13.008345,77.611350,2
GTAHPS-PERIYAR NAGAR (1-5),13.008860,77.610882,2
"GUHPS-ZIA STREET, D J HALLI (1-5)",13.009242,77.609743,2
"GUHS-MAIN BULDING, D J HALLI (9-10)",13.010393,77.605800,2
"GUHPS-MAIN BULDING, D J HALLI (1-5)",13.010393,77.605800,2
GULPS-MODI ROAD D J HALLI (1-5),13.012182,77.606017,2
